date;iso3;TWI_VOLUME;EPI_CONFIRMED;IRI_UNVERIFIED;IRI_VERIFIED;IRI_ALL
2020-02-04;ITA;17350;2;0.166938622460421;0;0.166938622460421
2020-02-05;ITA;12265;2;0.0574829177094907;0;0.0574829177094907
2020-02-06;ITA;11677;2;0.0526364883941638;0;0.0526364883941638
2020-02-07;ITA;10867;3;0.359052478728982;0.0229538943223491;0.382006373051332
2020-02-08;ITA;10346;3;0.289789214597517;0.0015520055429014;0.291341220140419
2020-02-09;ITA;10592;3;0.193548230162116;0;0.193548230162116
2020-02-10;ITA;12425;3;0.281970467873097;0.00229465293470443;0.284265120807802
2020-02-11;ITA;11824;3;0.13342712853208;0;0.13342712853208
2020-02-12;ITA;9380;3;0.268464807984325;0;0.268464807984325
2020-02-13;ITA;9294;3;0.131142360010768;0;0.131142360010768
2020-02-14;ITA;7870;3;0.202153086777034;0;0.202153086777034
2020-02-15;ITA;8724;3;0.166334539720714;0;0.166334539720714
2020-02-16;ITA;7979;3;0.116740346158921;0.000961335406859857;0.117701681565781
2020-02-17;ITA;10075;3;0.109560762738893;0;0.109560762738893
2020-02-18;ITA;9343;3;0.201164199018174;0.00073298321514284;0.201897182233317
2020-02-19;ITA;7945;3;0.22557780251674;0.0942056432741428;0.319783445790882
2020-02-20;ITA;6551;3;0.349468894847828;0;0.349468894847828
2020-02-21;ITA;51260;20;0.0553456124352045;0.000163354506971618;0.0555089669421761
2020-02-22;ITA;81436;62;0.0483220634516835;0;0.0483220634516835
2020-02-23;ITA;95392;155;0.0426633843737488;0;0.0426633843737488
2020-02-24;ITA;108532;229;0.0302127166092114;0.000242993910819686;0.0304557105200311
2020-02-25;ITA;85000;322;0.0284252369472284;0.00126632059937957;0.029691557546608
2020-02-26;ITA;67880;453;0.0302335110538824;0.000208995402193378;0.0304425064560758
2020-02-27;ITA;59130;655;0.030552079607213;0.00106407829894132;0.0316161579061543
2020-02-28;ITA;44309;888;0.0821198280920422;0.000435331315251316;0.0825551594072935
2020-02-29;ITA;46509;1128;0.0575947579918647;0.00185964593741431;0.059454403929279
2020-03-01;ITA;50132;1694;0.0648519066400036;0.00442966305091808;0.0692815696909216
2020-03-02;ITA;45926;2036;0.0724921681622677;0.000132558501911605;0.0726247266641793
2020-03-03;ITA;45757;2502;0.0430013485247423;0.000603588264049411;0.0436049367887917
2020-03-04;ITA;57499;3089;0.0398238792555243;0.00553835399448367;0.045362233250008
2020-03-05;ITA;62858;3858;0.0315982679404187;0.000597972029233208;0.0321962399696519
2020-03-06;ITA;62911;4636;0.0395523193549752;0.000327330068918758;0.039879649423894
2020-03-07;ITA;75531;5883;0.0462776879195602;0.00340139732499763;0.0496790852445578
2020-03-08;ITA;85652;7375;0.0345542458249081;3.3492347305781e-05;0.0345877381722139
2020-03-09;ITA;71521;9172;0.0236847098697275;0.000492169758835584;0.0241768796285631
2020-03-10;ITA;56677;10149;0.0481008630288577;0.000233659498695987;0.0483345225275536
2020-01-22;JAM;176;0;0.142801584793758;0.369679881383535;0.512481466177293
2020-01-23;JAM;301;0;0.372415157811418;0;0.372415157811418
2020-01-24;JAM;657;0;0.163857332704591;0;0.163857332704591
2020-01-25;JAM;1334;0;0.100539069016604;0;0.100539069016604
2020-01-26;JAM;1085;0;0.0939705067792664;0;0.0939705067792664
2020-01-27;JAM;949;0;0.2246375832579;0.0984863837586861;0.323123967016586
2020-01-28;JAM;3548;0;0.173618568648925;0.071761065804723;0.245379634453647
2020-01-29;JAM;1443;0;0.0978027477026658;0.0691929760713311;0.166995723773997
2020-01-30;JAM;1749;0;0.0667912269184804;0.0512481273881062;0.118039354306587
2020-01-31;JAM;1705;0;0.239319466019718;0;0.239319466019718
2020-02-01;JAM;904;0;0.0690008063015568;0;0.0690008063015568
2020-02-02;JAM;991;0;0.0789273719244388;0;0.0789273719244388
2020-02-03;JAM;580;0;0.0597353974296952;0;0.0597353974296952
2020-02-04;JAM;596;0;0.0317969511882154;0;0.0317969511882154
2020-02-05;JAM;468;0;0.00908565138710099;0.142142870468835;0.151228521855936
2020-02-06;JAM;450;0;0.0490589436825212;0;0.0490589436825212
2020-02-07;JAM;524;0;0.0351662069206327;0;0.0351662069206327
2020-02-08;JAM;557;0;0.14165279162841;0.014708272744446;0.156361064372856
2020-02-09;JAM;494;0;0.0115151462440967;0.132789465902469;0.144304612146566
2020-02-10;JAM;608;0;0.0502090159304033;0.0863292283357813;0.136538244266185
2020-02-11;JAM;482;0;0.0298093224499414;0;0.0298093224499414
2020-02-12;JAM;327;0;0.21525435964071;0.0788963483175035;0.294150707958213
2020-02-13;JAM;492;0;0.249351337039979;0;0.249351337039979
2020-02-14;JAM;451;0;0.094948259003038;0.0800926579551456;0.175040916958184
2020-02-15;JAM;434;0;0.144242896782627;0;0.144242896782627
2020-02-16;JAM;438;0;0.0235471306154246;0;0.0235471306154246
2020-02-17;JAM;437;0;0.22028691063155;0;0.22028691063155
2020-02-18;JAM;419;0;0.183726737692781;0;0.183726737692781
2020-02-19;JAM;348;0;0.0855935117205671;0.0681795198511417;0.153773031571709
2020-02-20;JAM;248;0;0.158867838393061;0;0.158867838393061
2020-02-21;JAM;300;0;0.207246938540346;0;0.207246938540346
2020-02-22;JAM;327;0;0.733429834513517;0;0.733429834513517
2020-02-23;JAM;393;0;0.305907172995781;0.168738186608626;0.474645359604406
2020-02-24;JAM;653;0;0.180692670166449;0;0.180692670166449
2020-02-25;JAM;784;0;0.198687303652689;0.12717195171923;0.325859255371919
2020-02-26;JAM;899;0;0.175829902015878;0.0172417316318086;0.193071633647686
2020-02-27;JAM;1091;0;0.22634035931532;0.151742349224313;0.378082708539633
2020-02-28;JAM;1327;0;0.230560952353058;0.0686277381289439;0.299188690482002
2020-02-29;JAM;1376;0;0.264569091647209;0;0.264569091647209
2020-03-01;JAM;1516;0;0.0756192999191887;0.0103079942399183;0.0859272941591071
2020-03-02;JAM;1944;0;0.169004397251911;0;0.169004397251911
2020-03-03;JAM;1771;0;0.232500888764865;0.0677372619925917;0.300238150757457
2020-03-04;JAM;1865;0;0.199926731649531;0;0.199926731649531
2020-03-05;JAM;1791;0;0.146663290314996;0.160224467094137;0.306887757409132
2020-03-06;JAM;1750;0;0.111750810998079;0;0.111750810998079
2020-03-07;JAM;1624;0;0.201409374384396;0;0.201409374384396
2020-03-08;JAM;1536;0;0.196014547658736;0.0639854523412638;0.26
2020-03-09;JAM;1622;0;0.15314729440853;0;0.15314729440853
2020-03-10;JAM;3217;0;0.148147786855262;0.0865162785026216;0.234664065357883
2020-01-22;JOR;38;0;0.088733216579101;0;0.088733216579101
2020-01-23;JOR;96;0;0.00454545454545455;0;0.00454545454545455
2020-01-24;JOR;261;0;0.0778790220884351;0;0.0778790220884351
2020-01-25;JOR;371;0;0.0662578468014079;0;0.0662578468014079
2020-01-26;JOR;506;0;0.0357897212978981;0;0.0357897212978981
2020-01-27;JOR;349;0;0.0143591958536202;0;0.0143591958536202
2020-01-28;JOR;250;0;0.659599074787972;0;0.659599074787972
2020-01-29;JOR;323;0;0.0289403025869415;0;0.0289403025869415
2020-01-30;JOR;415;0;0.0239916843094843;0.075980036228284;0.0999717205377684
2020-01-31;JOR;414;0;0.0279830992164732;0.0501376465961459;0.0781207458126191
2020-02-01;JOR;224;0;0.0226106900987184;0;0.0226106900987184
2020-02-02;JOR;211;0;0.00533427068494502;0;0.00533427068494502
2020-02-03;JOR;140;0;0.0508697359212031;0;0.0508697359212031
2020-02-04;JOR;135;0;1;0;1
2020-02-05;JOR;115;0;0.027307611010845;0;0.027307611010845
2020-02-06;JOR;108;0;0.746009179901702;0;0.746009179901702
2020-02-07;JOR;145;0;0.0143404293221698;0;0.0143404293221698
2020-02-08;JOR;140;0;0;0;0
2020-02-09;JOR;150;0;0.240848585690516;0;0.240848585690516
2020-02-10;JOR;105;0;0.032743067156699;0;0.032743067156699
2020-02-11;JOR;97;0;0.0933690726913013;0;0.0933690726913013
2020-02-12;JOR;91;0;0.148840682577707;0;0.148840682577707
2020-02-13;JOR;122;0;0.008859357696567;0;0.008859357696567
2020-02-14;JOR;125;0;0.0235159868435773;0;0.0235159868435773
2020-02-15;JOR;117;0;0;0;0
2020-02-16;JOR;109;0;0.00085202851252558;0;0.00085202851252558
2020-02-17;JOR;84;0;0.101640950281656;0;0.101640950281656
2020-02-18;JOR;87;0;0.054294175715696;0;0.054294175715696
2020-02-19;JOR;84;0;0;0;0
2020-02-20;JOR;68;0;0;0;0
2020-02-21;JOR;135;0;0.00368481201996605;0;0.00368481201996605
2020-02-22;JOR;138;0;0.0254612349365469;0;0.0254612349365469
2020-02-23;JOR;150;0;0.112257891562228;0;0.112257891562228
2020-02-24;JOR;331;0;0.0146340853279745;0.436596053383142;0.451230138711117
2020-02-25;JOR;457;0;0.0147448037358992;0.615964617176197;0.630709420912096
2020-02-26;JOR;432;0;0.0137855716023662;0;0.0137855716023662
2020-02-27;JOR;523;0;0.0434165871979039;0.192413627101329;0.235830214299233
2020-02-28;JOR;470;0;0.35252650975731;0.0371155290925197;0.38964203884983
2020-02-29;JOR;507;0;0.215362278761062;0;0.215362278761062
2020-03-01;JOR;426;0;0.0259742300439975;0.0520060758432851;0.0779803058872826
2020-03-02;JOR;666;0;0.0595301661918935;0.267565116308777;0.327095282500671
2020-03-03;JOR;542;1;0.300814667619213;0;0.300814667619213
2020-03-04;JOR;561;1;0.0838794233289646;0.326566186107471;0.410445609436435
2020-03-05;JOR;587;1;0.124653299657561;0.202773215364829;0.32742651502239
2020-03-06;JOR;618;1;0.00287839986782594;0.0256190495859235;0.0284974494537494
2020-03-07;JOR;600;1;0.171079971138562;0;0.171079971138562
2020-03-08;JOR;549;1;0.00229688804695971;0.142803374917434;0.145100262964394
2020-03-09;JOR;629;1;0.0484036387903481;0;0.0484036387903481
2020-03-10;JOR;651;1;0.0235873425896028;0;0.0235873425896028
2020-01-22;JPN;2222;2;0.0387063043327223;0;0.0387063043327223
