"","word","sentiment","n"
"833","excellency","positive",3
"834","exceptional","positive",3
"835","exceptionally","positive",3
"836","exclusion","negative",3
"837","excuses","negative",3
"838","fabulous","positive",3
"839","facilitate","positive",3
"840","famous","positive",3
"841","fancy","positive",3
"842","fascist","negative",3
"843","faulty","negative",3
"844","favour","positive",3
"845","finest","positive",3
"846","flare","negative",3
"847","flourish","positive",3
"848","flourishing","positive",3
"849","freeze","negative",3
"850","gained","positive",3
"851","gossip","negative",3
"852","greatness","positive",3
"853","hail","positive",3
"854","handy","positive",3
"855","harassment","negative",3
"856","hardened","negative",3
"857","hates","negative",3
"858","hatred","negative",3
"859","hilarious","positive",3
"860","honorable","positive",3
"861","hug","positive",3
"862","hype","negative",3
"863","ideal","positive",3
"864","incapable","negative",3
"865","ineffective","negative",3
"866","ineptitude","negative",3
"867","infamous","negative",3
"868","injustice","negative",3
"869","inspiration","positive",3
"870","insult","negative",3
"871","invasive","negative",3
"872","irresponsible","negative",3
"873","jerk","negative",3
"874","laughable","negative",3
"875","lazy","negative",3
"876","lean","positive",3
"877","leverage","positive",3
"878","liars","negative",3
"879","lier","negative",3
"880","lunatic","negative",3
"881","luxury","positive",3
"882","magic","positive",3
"883","manipulation","negative",3
"884","mar","negative",3
"885","mistaken","negative",3
"886","moan","negative",3
"887","modest","positive",3
"888","mystery","negative",3
"889","noble","positive",3
"890","notably","positive",3
"891","obsession","positive",3
"892","offence","negative",3
"893","offensive","negative",3
"894","outraged","negative",3
"895","outstanding","positive",3
"896","parody","negative",3
"897","persecution","negative",3
"898","personalized","positive",3
"899","plea","negative",3
"900","poorest","negative",3
"901","poorly","negative",3
"902","positives","positive",3
"903","precisely","positive",3
"904","prefer","positive",3
"905","pride","positive",3
"906","profound","positive",3
"907","progressive","positive",3
"908","promised","positive",3
"909","pros","positive",3
"910","prosecute","negative",3
"911","protesting","negative",3
"912","proves","positive",3
"913","proving","positive",3
"914","questionable","negative",3
"915","realistic","positive",3
"916","reassure","positive",3
"917","relentless","negative",3
"918","respectful","positive",3
"919","responsibly","positive",3
"920","responsive","positive",3
"921","restricted","negative",3
"922","revival","positive",3
"923","revive","positive",3
"924","risky","negative",3
"925","rival","negative",3
"926","rotten","negative",3
"927","rude","negative",3
"928","rumors","negative",3
"929","sadness","negative",3
"930","savior","positive",3
"931","selective","positive",3
"932","sensitive","positive",3
"933","shark","negative",3
"934","sharply","negative",3
"935","sincere","positive",3
"936","sinister","negative",3
"937","slowed","negative",3
"938","slump","negative",3
"939","sobering","negative",3
"940","soft","positive",3
"941","spiritual","positive",3
"942","stark","negative",3
"943","stole","negative",3
"944","strongest","positive",3
"945","successes","positive",3
"946","succumb","negative",3
"947","suppress","negative",3
"948","suppression","negative",3
"949","surpass","positive",3
"950","tragically","negative",3
"951","treason","negative",3
"952","tyrant","negative",3
"953","unbiased","positive",3
"954","uncontrolled","negative",3
"955","undermine","negative",3
"956","unprepared","negative",3
"957","unreal","positive",3
"958","unreliable","negative",3
"959","unwavering","positive",3
"960","vague","negative",3
"961","valuable","positive",3
"962","wasted","negative",3
"963","weakness","negative",3
"964","wealthy","positive",3
"965","willingness","positive",3
"966","won","positive",3
"967","worrying","negative",3
"968","worsening","negative",3
"969","abound","positive",2
"970","abrupt","negative",2
"971","abundance","positive",2
"972","abyss","negative",2
"973","accomplishment","positive",2
"974","accurately","positive",2
"975","accusing","negative",2
"976","addicts","negative",2
"977","adversity","negative",2
"978","agile","positive",2
"979","altercation","negative",2
"980","ambiguous","negative",2
"981","ambitious","positive",2
"982","annoyed","negative",2
"983","appreciable","positive",2
"984","arbitrary","negative",2
"985","articulate","positive",2
"986","assassinate","negative",2
"987","astonishingly","positive",2
"988","astounding","positive",2
"989","audacity","negative",2
"990","awards","positive",2
"991","awe","positive",2
"992","awfulness","negative",2
"993","baffled","negative",2
"994","baffling","negative",2
"995","bankrupt","negative",2
"996","bastard","negative",2
"997","beautifully","positive",2
"998","beloved","positive",2
"999","beware","negative",2
"1000","biased","negative",2
"1001","bigotry","negative",2
"1002","bleeding","negative",2
"1003","blockbuster","positive",2
"1004","bloom","positive",2
"1005","blunder","negative",2
"1006","bolster","positive",2
"1007","bonkers","negative",2
"1008","bonny","positive",2
"1009","boring","negative",2
"1010","bother","negative",2
"1011","boycott","negative",2
"1012","bright","positive",2
"1013","brutal","negative",2
"1014","bug","negative",2
"1015","bullies","negative",2
"1016","calamity","negative",2
"1017","capability","positive",2
"1018","careless","negative",2
"1019","carnage","negative",2
"1020","casualty","negative",2
"1021","cheaper","positive",2
"1022","cheaply","negative",2
"1023","cheat","negative",2
"1024","cheating","negative",2
"1025","cleared","positive",2
"1026","clearer","positive",2
"1027","comfortable","positive",2
"1028","commendable","positive",2
"1029","compact","positive",2
"1030","complained","negative",2
"1031","complaints","negative",2
"1032","complimentary","positive",2
"1033","concise","positive",2
"1034","considerate","positive",2
"1035","contaminated","negative",2
"1036","controversy","negative",2
"1037","convenience","positive",2
"1038","corrupted","negative",2
"1039","costly","negative",2
"1040","creepy","negative",2
"1041","cringe","negative",2
"1042","crooked","negative",2
"1043","crooks","negative",2
"1044","crush","negative",2
"1045","crushed","negative",2
"1046","damned","negative",2
"1047","darker","negative",2
"1048","debts","negative",2
"1049","declines","negative",2
"1050","defeated","positive",2
"1051","defeating","positive",2
"1052","defender","positive",2
"1053","defensive","negative",2
"1054","defiant","negative",2
"1055","defy","negative",2
"1056","delicious","positive",2
"1057","demon","negative",2
"1058","denies","negative",2
"1059","denying","negative",2
"1060","deplorable","negative",2
"1061","depressing","negative",2
"1062","deserving","positive",2
"1063","despise","negative",2
"1064","deterrent","negative",2
"1065","detriment","negative",2
"1066","detrimental","negative",2
"1067","devastate","negative",2
"1068","diabolical","negative",2
"1069","dilemma","negative",2
"1070","diligently","positive",2
"1071","dim","negative",2
"1072","disappoint","negative",2
"1073","disappointment","negative",2
"1074","discord","negative",2
"1075","discredit","negative",2
"1076","discriminate","negative",2
"1077","disdain","negative",2
"1078","disgraceful","negative",2
"1079","dishonesty","negative",2
"1080","dislike","negative",2
"1081","displeasure","negative",2
"1082","disrupt","negative",2
"1083","dope","negative",2
"1084","doubts","negative",2
"1085","downhill","negative",2
"1086","drag","negative",2
"1087","dubious","negative",2
"1088","earnestly","positive",2
"1089","eases","positive",2
"1090","empowerment","positive",2
"1091","encroachment","negative",2
"1092","engaging","positive",2
"1093","enhanced","positive",2
"1094","enrich","positive",2
"1095","erratic","negative",2
"1096","exacerbate","negative",2
"1097","exceeded","positive",2
"1098","exceeds","positive",2
"1099","exemplary","positive",2
"1100","exhausted","negative",2
"1101","expensive","negative",2
"1102","expire","negative",2
"1103","expired","negative",2
"1104","exploitation","negative",2
"1105","extinguish","negative",2
"1106","fairly","positive",2
"1107","faithful","positive",2
"1108","fearless","positive",2
"1109","fiction","negative",2
"1110","filthy","negative",2
"1111","flout","negative",2
"1112","foolish","negative",2
"1113","fortitude","positive",2
"1114","fortunate","positive",2
