"","word","sentiment","n"
"504","promise","positive",15
"505","reluctant","negative",15
"506","reward","positive",15
"507","soft","positive",15
"508","solid","positive",15
"509","struggles","negative",15
"510","trusted","positive",15
"511","unbelievable","negative",15
"512","weak","negative",15
"513","badly","negative",14
"514","burning","negative",14
"515","comfortable","positive",14
"516","disappointed","negative",14
"517","empathy","positive",14
"518","ethical","positive",14
"519","fastest","positive",14
"520","heaven","positive",14
"521","impressive","positive",14
"522","mercy","positive",14
"523","murder","negative",14
"524","poised","positive",14
"525","racist","negative",14
"526","recommendation","positive",14
"527","refund","positive",14
"528","relentless","negative",14
"529","restrict","negative",14
"530","ridiculous","negative",14
"531","setback","negative",14
"532","shameful","negative",14
"533","strange","negative",14
"534","ache","negative",13
"535","breaks","negative",13
"536","bright","positive",13
"537","catastrophe","negative",13
"538","cleanliness","positive",13
"539","convenient","positive",13
"540","criticism","negative",13
"541","declining","negative",13
"542","deny","negative",13
"543","destruction","negative",13
"544","dire","negative",13
"545","empower","positive",13
"546","enjoying","positive",13
"547","failures","negative",13
"548","fascinating","positive",13
"549","frustration","negative",13
"550","harsh","negative",13
"551","heal","positive",13
"552","heartbreaking","negative",13
"553","honored","positive",13
"554","incredibly","positive",13
"555","insecurity","negative",13
"556","integrated","positive",13
"557","mad","negative",13
"558","mistakes","negative",13
"559","negligence","negative",13
"560","noble","positive",13
"561","outstanding","positive",13
"562","persecution","negative",13
"563","plague","negative",13
"564","sadness","negative",13
"565","savings","positive",13
"566","selfish","negative",13
"567","stigma","negative",13
"568","terribly","negative",13
"569","threaten","negative",13
"570","thrive","positive",13
"571","uncertain","negative",13
"572","unfortunate","negative",13
"573","visionary","positive",13
"574","weakness","negative",13
"575","wins","positive",13
"576","broken","negative",12
"577","carelessness","negative",12
"578","celebrated","positive",12
"579","clarity","positive",12
"580","cruel","negative",12
"581","deaf","negative",12
"582","deficiency","negative",12
"583","denial","negative",12
"584","disappointing","negative",12
"585","disgusting","negative",12
"586","drought","negative",12
"587","enjoyed","positive",12
"588","error","negative",12
"589","facilitate","positive",12
"590","fiction","negative",12
"591","flee","negative",12
"592","fool","negative",12
"593","grace","positive",12
"594","honest","positive",12
"595","inequities","negative",12
"596","lag","negative",12
"597","liberty","positive",12
"598","likes","positive",12
"599","loves","positive",12
"600","madness","negative",12
"601","masters","positive",12
"602","nasty","negative",12
"603","nightmare","negative",12
"604","odd","negative",12
"605","passion","positive",12
"606","pleasure","positive",12
"607","portable","positive",12
"608","reasonable","positive",12
"609","reform","positive",12
"610","regard","positive",12
"611","restricted","negative",12
"612","rumours","negative",12
"613","shambles","negative",12
"614","sincere","positive",12
"615","slowed","negative",12
"616","stability","positive",12
"617","stable","positive",12
"618","stupidity","negative",12
"619","succumb","negative",12
"620","toxic","negative",12
"621","treason","negative",12
"622","appeal","positive",11
"623","begging","negative",11
"624","careless","negative",11
"625","complacent","negative",11
"626","complain","negative",11
"627","complaint","negative",11
"628","conservative","negative",11
"629","consistent","positive",11
"630","consistently","positive",11
"631","disorder","negative",11
"632","drastic","negative",11
"633","drones","negative",11
"634","fairly","positive",11
"635","fat","negative",11
"636","flexibility","positive",11
"637","gained","positive",11
"638","hypocrisy","negative",11
"639","ideal","positive",11
"640","improves","positive",11
"641","insightful","positive",11
